sample,menadione,experiment,fastq_reads,tag_reads,perc_tagged,mapped_reads,template_reads,dup_reads,perc_unique,ta_reads,perc_ta_reads,tas_hit,ins_density,nz_mean
A1,1,1,64796903,64105656,98.9,62078208,9974704,52103504,0.84,51790112,99.4,30384,41.3,1704.5
A2,1,2,27327693,25912575,94.8,23315608,2067639,21247969,0.91,21020541,98.9,14864,20.2,1414.2
B1,0,1,3312969,3227812,97.4,2894890,272198,2622692,0.91,2607862,99.4,12614,17.2,206.7
B2,0,2,59668345,58555393,98.1,54511011,3899110,50611901,0.93,50202109,99.2,35024,47.6,1433.4
C1,1,1,5240906,5040493,96.2,4170196,130756,4039440,0.97,4000616,99,23713,32.2,168.7
C2,1,2,14854011,14368343,96.7,12320144,590331,11729813,0.95,11596280,98.9,15555,21.2,745.5
D1,0,1,46601908,46086206,98.9,44185634,3667580,40518054,0.92,40321820,99.5,35024,47.6,1151.3
D2,0,2,5057770,4917158,97.2,4276826,110660,4166166,0.97,4136321,99.3,25385,34.5,162.9
